price,address,bds,ba,sqft
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$399,950","2613 S 362nd Pl, Federal Way, WA 98003",3,3,"1,420"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"Est. $161,089","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
"Est. $8,179,050","5445 N Dentwood Dr, Dallas, TX 75220",4,10,"13,663"
"$200,000","745 E Bradley Ave UNIT 48, El Cajon, CA 92021",2,1,806
"$250,000","17556 Hall St, Athens, AL 35611",3,3,"2,176"
"$2,998,000","237 29th Ave, San Francisco, CA 94121",3,2.5,"2,780"
"$275,000","532 Craig St, Covington, KY 41011",3,--,"1,736"
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"$399,000","3267 Dehesa Rd UNIT 71, El Cajon, CA 92019",2,2,"1,371"
"$825,000","17009 New Rochelle Way, San Diego, CA 92127",3,3,"1,873"
"$200,000","321 Cemetery St, Charlotte, NC 28216",3,1,"1,005"
"$140,000","5308 Old Railroad Way, Hope Mills, NC 28348",3,3,"1,484"
"$149,900","LOT 1 Harrison Hill Ln, Leesburg, VA 20176",3,Null,Null
"$115,000","28 Allegheny Ave APT 912, Towson, MD 21204",1,1,848
"$149,900","LOT 2 Harrison Hill Ln, Leesburg, VA 20176",3,Null,Null
"$465,000","7110 Berwyn Ln, Elkridge, MD 21075",3,3,"2,200"
"$179,900","2793 S Forest Mnr, Shelbyville, IN 46176",3,2,"1,656"
"$170,000","5 Candlewick Ct, New Castle, DE 19720",3,2,"1,300"
"$80,000","909 W 8th St, Chester, PA 19013",3,1,"1,258"
"$69,700","6731 Limekiln Pike, Philadelphia, PA 19138",3,1,"1,024"
"Est. $161,089","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
"Est. $8,179,050","5445 N Dentwood Dr, Dallas, TX 75220",4,10,"13,663"
"$199,900","818 Shay Dr, Durham, NC 27704",3,2,"1,374"
"$184,900","2716 Weldon Ter, Durham, NC 27703",3,1,"1,028"
"$79,900","1329 54th Ave E #16B, Bradenton, FL 34203",2,1,780
"$119,000","391 Cherokee Ct #391, Altamonte Springs, FL 32701",2,2,"1,173"
"$525,000","3950 Marine Pkwy, New Port Richey, FL 34652",2,2,"1,963"
"$200,000","745 E Bradley Ave UNIT 48, El Cajon, CA 92021",2,1,806
"$520,000","27275 Yale St, Hemet, CA 92544",3,2,"1,512"
"$199,000","5725 Mule Deer Way, Pinetop, AZ 85935",2,1,844
"$330,000","1271 Grand Ave, Colton, CA 92324",2,2,"1,540"
"$554,900","199 Promenade St, Pomona, CA 91767",3,3,"1,829"
"$250,000","17556 Hall St, Athens, AL 35611",3,3,"2,150"
"$209,900","2843 Beechwood Dr, Durham, NC 27707",3,2,"1,116"
"$2,998,000","237 29th Ave, San Francisco, CA 94121",3,2.5,"2,780"
"$168,000","414 Glady Ln, Weston, WV 26452",4,2,"1,456"
"$275,000","532 Craig St, Covington, KY 41011",3,--,"1,736"
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$399,950","2613 S 362nd Pl, Federal Way, WA 98003",3,3,"1,420"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"Est. $161,089","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
"Est. $8,179,050","5445 N Dentwood Dr, Dallas, TX 75220",4,10,"13,663"
"$200,000","745 E Bradley Ave UNIT 48, El Cajon, CA 92021",2,1,806
"$250,000","17556 Hall St, Athens, AL 35611",3,3,"2,176"
"$2,998,000","237 29th Ave, San Francisco, CA 94121",3,2.5,"2,780"
"$275,000","532 Craig St, Covington, KY 41011",3,--,"1,736"
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"$399,000","3267 Dehesa Rd UNIT 71, El Cajon, CA 92019",2,2,"1,371"
"$825,000","17009 New Rochelle Way, San Diego, CA 92127",3,3,"1,873"
"$200,000","321 Cemetery St, Charlotte, NC 28216",3,1,"1,005"
"$140,000","5308 Old Railroad Way, Hope Mills, NC 28348",3,3,"1,484"
"$149,900","LOT 1 Harrison Hill Ln, Leesburg, VA 20176",3,Null,Null
"$115,000","28 Allegheny Ave APT 912, Towson, MD 21204",1,1,848
"$149,900","LOT 2 Harrison Hill Ln, Leesburg, VA 20176",3,Null,Null
"$465,000","7110 Berwyn Ln, Elkridge, MD 21075",3,3,"2,200"
"$179,900","2793 S Forest Mnr, Shelbyville, IN 46176",3,2,"1,656"
"$170,000","5 Candlewick Ct, New Castle, DE 19720",3,2,"1,300"
"$80,000","909 W 8th St, Chester, PA 19013",3,1,"1,258"
"$69,700","6731 Limekiln Pike, Philadelphia, PA 19138",3,1,"1,024"
"Est. $165,973","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
"Est. $8,179,050","5445 N Dentwood Dr, Dallas, TX 75220",4,10,"13,663"
"$199,900","818 Shay Dr, Durham, NC 27704",3,2,"1,374"
"$184,900","2716 Weldon Ter, Durham, NC 27703",3,1,"1,028"
"$79,900","1329 54th Ave E #16B, Bradenton, FL 34203",2,1,780
"$119,000","391 Cherokee Ct #391, Altamonte Springs, FL 32701",2,2,"1,173"
"$525,000","3950 Marine Pkwy, New Port Richey, FL 34652",2,2,"1,963"
"$200,000","745 E Bradley Ave UNIT 48, El Cajon, CA 92021",2,1,806
"$520,000","27275 Yale St, Hemet, CA 92544",3,2,"1,512"
"$330,000","1271 Grand Ave, Colton, CA 92324",2,2,"1,540"
"$554,900","199 Promenade St, Pomona, CA 91767",3,3,"1,829"
"$199,000","5725 Mule Deer Way, Pinetop, AZ 85935",2,1,844
"$250,000","17556 Hall St, Athens, AL 35611",3,3,"2,150"
"$209,900","2843 Beechwood Dr, Durham, NC 27707",3,2,"1,116"
"$2,998,000","237 29th Ave, San Francisco, CA 94121",3,2.5,"2,780"
"$168,000","414 Glady Ln, Weston, WV 26452",4,2,"1,456"
"$275,000","532 Craig St, Covington, KY 41011",3,--,"1,736"
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$399,950","2613 S 362nd Pl, Federal Way, WA 98003",3,3,"1,420"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"Est. $161,089","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
"Est. $8,179,050","5445 N Dentwood Dr, Dallas, TX 75220",4,10,"13,663"
"$184,900","2716 Weldon Ter, Durham, NC 27703",3,1,"1,028"
"$199,900","818 Shay Dr, Durham, NC 27704",3,2,"1,374"
"$79,900","1329 54th Ave E #16B, Bradenton, FL 34203",2,1,780
"$525,000","3950 Marine Pkwy, New Port Richey, FL 34652",2,2,"1,963"
"$119,000","391 Cherokee Ct #391, Altamonte Springs, FL 32701",2,2,"1,173"
"$200,000","745 E Bradley Ave UNIT 48, El Cajon, CA 92021",2,1,806
"$520,000","27275 Yale St, Hemet, CA 92544",3,2,"1,512"
"$330,000","1271 Grand Ave, Colton, CA 92324",2,2,"1,540"
"$554,900","199 Promenade St, Pomona, CA 91767",3,3,"1,829"
"$199,000","5725 Mule Deer Way, Pinetop, AZ 85935",2,1,844
"$250,000","17556 Hall St, Athens, AL 35611",3,3,"2,150"
"$209,900","2843 Beechwood Dr, Durham, NC 27707",3,2,"1,116"
"$2,998,000","237 29th Ave, San Francisco, CA 94121",3,2.5,"2,780"
"$168,000","414 Glady Ln, Weston, WV 26452",4,2,"1,456"
"$275,000","532 Craig St, Covington, KY 41011",3,--,"1,736"
"$499,000","3 Woods Way #3, Redding, CT 06896",4,4,"3,380"
"$379,500","3125 329th Ave NW, Cambridge, MN 55008",4,3,"2,655"
"$399,950","2613 S 362nd Pl, Federal Way, WA 98003",3,3,"1,420"
"$830,000","15681 Glendale Oaks Ln, Fort Myers, FL 33912",3,3,"2,931"
"$69,900","N 2504 15a St, Waco, TX 76708",--,Null,Null
"$34,500","N 3554th St, Waco, TX 76708",--,Null,Null
"$39,900","1604 Summer Ave, Waco, TX 76708",0.28,Null,Null
"$143,280","0 County Road 33200, Sumner, TX 75486",17.91,Null,Null
"$404,500","1101 N Hyde Park Way, Mustang, OK 73064",3,3,"2,849"
"$50,555","3390 W Basin Ave, Pahrump, NV 89060",1.08,Null,Null
"$69,000","543 Washington St, Mountain View, MO 65548",18,Null,Null
"$585,000","6320 S Creeksedge Dr #A, Ozark, MO 65721",3,4,"5,105"
"$644,900","4173 W Highland Fall Ct, Meridian, ID 83646",4,3.5,"3,113"
"$208,900","756 Springfield Dr, Chelsea, AL 35043",3,2,"1,248"
"$389,900","6207 NW 164th St, Alachua, FL 32615",3,2,"2,334"
"$26,000","5 Major Blvd, Natchez, MS 39120",3,1,"1,042"
"$1,350,000","709 Glyndon St SE, Vienna, VA 22180",4,3,"2,280"
"$439,990","190 Green Poplar Loop, Clarksburg, MD",4,4,"1,945"
"$509,900","9236 Sewall Ave, Laurel, MD 20723",4,4,"2,024"
"$449,900","1214 SE Uglow Ave, Dallas, OR 97338",5,3,"2,816"
"Est. $165,973","706 W Ringwood Rd, Mchenry, IL 60051",4,1.5,"1,248"
"Est. $231,475","998 Butler Dr, Crystal Lake, IL 60014",4,3,"2,057"
"Est. $173,641","169 S Madison St, Oswego, IL 60543",--,--,"1,744"
$--,"135 Bryant St, Battle Creek, MI 49017",--,--,--
